MCT_YM,MCT_NM,ADDR
덕인당빵집_20070613,덕인당빵집,제주 제주시 조천읍 신촌리 1823번지
덕인당빵집제주점_20160202,덕인당빵집제주점,제주 제주시 오라이동 1203번지 1층
덕천연수원_20210720,덕천연수원,제주 제주시 구좌읍 덕천리 1287번지 (덕천연수원)
던킨 제주신화월드점_20210728,던킨 제주신화월드점,제주 서귀포시 안덕면 서광리 산 24번지 지하1층 25호
덤장_20060330,덤장,제주 서귀포시 색달동 2119번지
데미안제주조수점_20160428,데미안제주조수점,제주 제주시 한경면 조수리 1621번지 1층
델문도 로스터스_20190423,델문도 로스터스,제주 제주시 도남동 61-4번지 1층
델문도 인 김녕_20220620,델문도 인 김녕,제주 제주시 구좌읍 김녕리 462-15번지 1층
델문도_20181226,델문도,제주 제주시 조천읍 함덕리 1008-1번지 1층
도갈비_20190513,도갈비,제주 제주시 노형동 759-7번지 프라임빌 1층 102호
도남막창_20001127,도남막창,제주 제주시 도남동 915-25번지
도남시골낙지_20070807,도남시골낙지,제주 제주시 도남동 909-9번지
도남오거리도남점_20151113,도남오거리도남점,제주 제주시 도남동 909번지
도남황금_20101015,도남황금,제주 제주시 도남동 87번지
도도름_20220714,도도름,제주 제주시 연동 272-2번지 1층
도도름한우와흑돈_20211022,도도름한우와흑돈,제주 제주시 연동 272-2번지 3층
도두반점 호텔더본점_20180920,도두반점 호텔더본점,제주 서귀포시 색달동 2138번지 지하 1층 2호
도두해녀의집_20140218,도두해녀의집,제주 제주시 도두일동 2587-4번지
도두해수파크 구내매점_20150813,도두해수파크 구내매점,제주 제주시 도두일동 1729번지
도라지식당_20110708,도라지식당,제주 제주시 오라삼동 2112번지
도미노피자  제주노형점_20100311,도미노피자  제주노형점,제주 제주시 연동 260-44번지
도미노피자 제주서귀포점_20161103,도미노피자 제주서귀포점,제주 서귀포시 서호동 1230-1번지
도미노피자 제주이도점_20150121,도미노피자 제주이도점,제주 제주시 아라이동 3012-10번지 1층
도미노피자 제주화북점_20160219,도미노피자 제주화북점,제주 제주시 화북일동 1023-6번지
도새기1982_20180517,도새기1982,제주 서귀포시 동홍동 117-11번지 1층
도새기상회_20150904,도새기상회,제주 서귀포시 성산읍 고성리 1113-3번지 1층
도시어부_20180329,도시어부,제주 제주시 노형동 1050-4번지 1층
도시정원_20220415,도시정원,제주 서귀포시 색달동 2532-1번지
도원춘_20050914,도원춘,제주 제주시 한림읍 한림리 1350-1번지
도치돌가든_20020704,도치돌가든,제주 제주시 애월읍 어음리 2472-1번지
도토리키친본점_20200721,도토리키친본점,제주 제주시 삼도이동 1158-1번지 1층
도톰_20220105,도톰,제주 제주시 조천읍 함덕리 4152-4번지 1층
독개물항_20090701,독개물항,제주 제주시 한림읍 옹포리 593-1번지 595호
독고집_20191213,독고집,제주 서귀포시 성산읍 고성리 316-12번지
돈가_20040625,돈가,제주 제주시 연동 303-41번지
돈가네우가네_20190416,돈가네우가네,제주 서귀포시 동홍동 499-6번지 1층
돈게도라_20200604,돈게도라,제주 제주시 연동 294-61번지
돈고팡_20170207,돈고팡,제주 제주시 도두이동 698번지 1층
돈고팡산방산점_20190131,돈고팡산방산점,제주 서귀포시 안덕면 사계리 1935번지
돈구어_20140319,돈구어,제주 제주시 구좌읍 세화리 3642-5번지 1층
돈까스가있는풍경_20170412,돈까스가있는풍경,제주 제주시 노형동 742-3번지
돈꿀꺽_20200818,돈꿀꺽,제주 제주시 애월읍 소길리 155-121번지 1층
돈나무_20170914,돈나무,제주 제주시 연동 265-2번지
돈날개_20210927,돈날개,제주 제주시 도남동 74-5번지 1층
돈놓고돈먹기_20170125,돈놓고돈먹기,제주 제주시 이도이동 271-1번지 1층
돈떵이_20120711,돈떵이,제주 제주시 연동 274-39번지
돈뜰_20180911,돈뜰,제주 제주시 한경면 저지리 2883번지 1층
돈마루2호점_20151124,돈마루2호점,제주 제주시 노형동 2517-8번지
돈만석_20180214,돈만석,제주 제주시 이도일동 1260-37번지 이도일동
돈명가_20150112,돈명가,제주 제주시 도남동 183-1번지 1층
돈배락정육식당_20200814,돈배락정육식당,제주 제주시 화북일동 1005-1번지 1층
돈백꽃본점_20210409,돈백꽃본점,제주 제주시 이도이동 408-14번지 제동빌딩
돈보따리생생갈비_20091102,돈보따리생생갈비,제주 제주시 연동 261-66번지
돈본가_20200910,돈본가,제주 제주시 이도이동 410-1번지 1층
돈블랙_20190807,돈블랙,제주 서귀포시 서귀동 255-13번지
돈사돈  월정점_20190312,돈사돈  월정점,제주 제주시 구좌읍 한동리 1437-1번지 1층
돈사돈 중문점_20140922,돈사돈 중문점,제주 서귀포시 중문동 1884-7번지
돈사돈2호점_20210224,돈사돈2호점,제주 제주시 노형동 2470번지
돈사돈_20060113,돈사돈,제주 제주시 노형동 3086-3번지 1층
돈사무소_20171012,돈사무소,제주 제주시 이도이동 1997-11번지 1층
돈사빠_20210629,돈사빠,제주 서귀포시 대정읍 보성리 465-14번지 1층
돈사촌외도점_20170123,돈사촌외도점,제주 제주시 외도일동 125-8번지 1층
돈삼겹노형뜨란채점_20191220,돈삼겹노형뜨란채점,제주 제주시 노형동 2527-6번지 1층
돈삼겹삼화3호점_20170626,돈삼겹삼화3호점,제주 제주시 삼양이동 2176-12번지 1층
돈삼겹삼화점_20161223,돈삼겹삼화점,제주 제주시 화북일동 1005-3번지 1층
돈삼겹외도점_20171220,돈삼겹외도점,제주 제주시 외도일동 532-4번지 1층
돈삼겹직영5호점_20201102,돈삼겹직영5호점,제주 제주시 이도이동 1952-2번지 지하1층
돈삼겹하귀점_20180420,돈삼겹하귀점,제주 제주시 애월읍 하귀1리 161-6번지 1층
돈삼겹한라점_20190925,돈삼겹한라점,제주 제주시 연동 1526-1번지 1층
돈수육_20191029,돈수육,제주 서귀포시 서호동 1231-8번지 1층
돈어길_20210401,돈어길,제주 서귀포시 대정읍 구억리 831-11번지 C동 1층
돈와랑_20211119,돈와랑,제주 제주시 한경면 저지리 3002번지 1층
돈육오(돈65)_20220516,돈육오(돈65),제주 서귀포시 중문동 2461-2번지
돈이랑_20150331,돈이랑,제주 서귀포시 색달동 2182번지 1층
돈장군_20110422,돈장군,제주 서귀포시 대정읍 하모리 1089-30번지
돈짬제주시청점_20210317,돈짬제주시청점,제주 제주시 이도이동 1772-8번지 2층
돈짱_20140701,돈짱,제주 제주시 도두일동 2541번지
돈치비_20160624,돈치비,제주 제주시 노형동 1층
돈파스타정원_20160607,돈파스타정원,제주 제주시 애월읍 고내리 344-2번지
돈풍년_20100902,돈풍년,제주 제주시 아라이동 3012-9번지
돈하루방_20141219,돈하루방,제주 제주시 이도일동 1249-2번지 1층
돈해상_20191101,돈해상,제주 제주시 한림읍 귀덕리 970번지 1층
돈해야_20181130,돈해야,제주 제주시 용담삼동 985번지 1동 2층
돈향기_20100820,돈향기,제주 제주시 건입동 1384번지
돈후명가_20201021,돈후명가,제주 제주시 연동 273-18번지
돌갱이네집_20200902,돌갱이네집,제주 제주시 한림읍 협재리 2447-39번지
돌다메_20130925,돌다메,제주 제주시 외도일동 413-5번지 1층
돌담애분식_20200226,돌담애분식,제주 제주시 이도이동 1974-5번지 지하1층
돌담위에흑돼지_20190408,돌담위에흑돼지,제주 제주시 애월읍 신엄리 963-3번지 1층
돌담통닭_20210415,돌담통닭,제주 제주시 구좌읍 세화리 1-15번지 1층
돌담흑돼지 주식회사_20220523,돌담흑돼지 주식회사,제주 제주시 연동 273-35번지 2층
돌담흑돼지 중문_20220520,돌담흑돼지 중문,제주 서귀포시 색달동 2272-1번지
돌집식당_20220126,돌집식당,제주 서귀포시 표선면 성읍리 1624-3번지
돌하루방식당_20080430,돌하루방식당,제주 제주시 일도이동 320-14번지
돌하르방나주곰탕_20150909,돌하르방나주곰탕,제주 서귀포시 안덕면 서광리 75-3번지
돔베돈_20200225,돔베돈,제주 제주시 건입동 1399-3번지
동강_20080521,동강,제주 제주시 도남동 901-9번지 1층
동경생포차연동점_20220830,동경생포차연동점,제주 제주시 연동 273-34번지 신제주종합시장 2층
동광생오리집_20200106,동광생오리집,제주 제주시 일도이동 89-7번지
동귀리갈칫집_20201217,동귀리갈칫집,제주 제주시 노형동 2737번지 1층
동도원_20210318,동도원,제주 서귀포시 대포동 2201번지
동막골_20201202,동막골,제주 제주시 아라일동 2382-6번지 1층
동막골삼화점_20210225,동막골삼화점,제주 제주시 삼양이동 2129-12번지 1층
동막골서사라점_20191004,동막골서사라점,제주 제주시 삼도일동 536-8번지 1층
동문삼원횟집_20181207,동문삼원횟집,제주 제주시 이도일동 1436-1번지 2층
동문야시장_20211013,동문야시장,제주 제주시 일도일동 1102-3번지 1층
동문올레횟집_20140407,동문올레횟집,제주 제주시 이도일동 1349-5번지
동백김밥편의점_20170905,동백김밥편의점,제주 제주시 조천읍 조천리 3357-2번지
동백부엌_20220517,동백부엌,제주 제주시 도두일동 2547번지 1층
동복뚝배기_20160603,동복뚝배기,제주 제주시 구좌읍 동복리 1685-11번지 1층
동부산가든_20190725,동부산가든,제주 제주시 봉개동 1832-1번지 1층
동새벽김밥_20210916,동새벽김밥,제주 제주시 도련이동 579-9번지 1층
동서지간_20130912,동서지간,제주 제주시 건입동 674-55번지
동선제면가_20190509,동선제면가,제주 서귀포시 남원읍 위미리 4150-1번지 1층
동이트는집_20101220,동이트는집,제주 서귀포시 성산읍 고성리 1179-15번지
동이트는집_20170426,동이트는집,제주 제주시 일도이동 168-11번지
동진_20160523,동진,제주 제주시 일도일동 1146번지
동카름_20170810,동카름,제주 제주시 조천읍 신촌리 1942-1번지 1층
동해미락_20070103,동해미락,제주 서귀포시 서귀동 72-1번지
동해수산회센타_20081024,동해수산회센타,제주 제주시 일도일동 1103-3번지 동문공설시장 3동 1.3-2호
동현_20091228,동현,제주 서귀포시 대정읍 하모리 2126-9번지
동홍소량_20150617,동홍소량,제주 서귀포시 동홍동 107-10번지
동화로 연탄구이_20210218,동화로 연탄구이,제주 제주시 화북일동 18-4번지
동화로연탄구이2_20220804,동화로연탄구이2,제주 제주시 연동 1500-5번지 1층
돼지구이연구소_20190530,돼지구이연구소,제주 제주시 이도일동 1257-7번지 1층
돼지삼춘생구이_20171103,돼지삼춘생구이,제주 제주시 연동 1502-7번지 1층
돼지삼형제_20210419,돼지삼형제,제주 서귀포시 중문동 1939-1번지 1층
돼지의꿈_20230116,돼지의꿈,제주 제주시 노형동 908-3번지 103호
돼지촌_20050719,돼지촌,제주 제주시 노형동 934-1번지
두가시의 부엌_20201030,두가시의 부엌,제주 서귀포시 강정동 2637-1번지
두끼 서귀포점_20180725,두끼 서귀포점,제주 서귀포시 서귀동 291-66번지 2층
두끼떡볶이 제주노형점_20170718,두끼떡볶이 제주노형점,제주 제주시 노형동 726-1번지 203호
두끼제주시청점_20170220,두끼제주시청점,제주 제주시 이도이동 1768-27번지 2층
두루_20140211,두루,제주 제주시 노형동 2530-4번지 1층
두루두루_20020208,두루두루,제주 제주시 연동 291-37번지
두리둠비_20210811,두리둠비,제주 서귀포시 색달동 2518-1번지
두리아숯불바베큐일도점_20030317,두리아숯불바베큐일도점,제주 제주시 일도이동 359-8번지
두툼한고기돈돼지_20170328,두툼한고기돈돼지,제주 제주시 조천읍 함덕리 960-9번지 1층
둘레길_20210315,둘레길,제주 서귀포시 중문동 2006-3번지 2층
둘리네국수_20100322,둘리네국수,제주 제주시 연동 284-11번지
둥지_20200818,둥지,제주 제주시 연동 272-38번지 1층
듀포레_20210402,듀포레,제주 제주시 용담삼동 1092번지 2층
드롭탑제주용담해안도로점_20170918,드롭탑제주용담해안도로점,제주 제주시 용담삼동 1145-2번지 1호 ~2층
드림회센터_20210303,드림회센터,제주 서귀포시 서귀동 275-3번지
듬삭헌국밥집_20200821,듬삭헌국밥집,제주 서귀포시 성산읍 오조리 338-4번지
등경돌_20210409,등경돌,제주 서귀포시 성산읍 성산리 187번지
등촌샤브칼국수_20190603,등촌샤브칼국수,제주 제주시 화북일동 1023-6번지 2층
디뷰_20210122,디뷰,제주 제주시 노형동 3801-9번지 1층
디앤_20160908,디앤,제주 제주시 이도이동 1767-8번지 지하 1층
디오니스토어제주점_20210820,디오니스토어제주점,제주 제주시 노형동 2734-3번지
디제이개발 주식회사_20220706,디제이개발 주식회사,제주 제주시 연동 272-34번지 2층
딤섬9898_20201204,딤섬9898,제주 제주시 노형동 3782-8번지 행복한빌딩 1층
땡초불닭발동대문엽기떡볶이 제주시청점_20160613,땡초불닭발동대문엽기떡볶이 제주시청점,제주 제주시 이도이동 1180-10번지
땡큐베리_20211021,땡큐베리,제주 서귀포시 서귀동 756-5번지 2층
떡하니_20120119,떡하니,제주 제주시 이도이동 1037번지 원영주택 1층 8호
떼레노&샤부리_20220721,떼레노&샤부리,제주 서귀포시 색달동 3039-1번지 지하1층
또똣부뚜막_20120524,또똣부뚜막,제주 제주시 애월읍 애월리 410-5번지
또만나_20180109,또만나,제주 제주시 오라일동 2445-2번지 1층
또바기_20170223,또바기,제주 제주시 노형동 1061-6번지 창신주택 103호
또오리_20130607,또오리,제주 서귀포시 동홍동 588-22번지
또와국밥_20191220,또와국밥,제주 서귀포시 남원읍 남원리 214-6번지 1층
뚜레쥬르 노형오거리점_20160830,뚜레쥬르 노형오거리점,제주 제주시 노형동 1064-7번지 아일랜드빌딩 B동 1층
뚜레쥬르 노형한라점_20200416,뚜레쥬르 노형한라점,"제주 제주시 노형동 682번지 B202호, B203호"
뚜레쥬르 일도점_20211129,뚜레쥬르 일도점,제주 제주시 일도이동 416-9번지 1층
뚜레쥬르 제주아라아이파크점_20220905,뚜레쥬르 제주아라아이파크점,제주 제주시 아라일동 6134번지 1층
뚜레쥬르 제주영어도시점_20181112,뚜레쥬르 제주영어도시점,제주 서귀포시 대정읍 보성리 2417번지 제주영어교육도시한신더휴아파트 상가동 1층
뚜레쥬르 제주이도베라체점_20210714,뚜레쥬르 제주이도베라체점,제주 제주시 아라이동 3003-11번지 1층
뚜레쥬르 제주한경점_20221005,뚜레쥬르 제주한경점,제주 제주시 한경면 신창리 248번지 1층
뚜레쥬르 중문점_20130418,뚜레쥬르 중문점,제주 서귀포시 중문동 2082번지
뚜레쥬르 한림점_20201229,뚜레쥬르 한림점,제주 제주시 한림읍 한림리 971-1번지 1층
뚜레쥬르서사라점_20150406,뚜레쥬르서사라점,제주 제주시 삼도일동 535-14번지
뚜레쥬르외도점_20191015,뚜레쥬르외도점,제주 제주시 외도일동 637-1번지
뚜레쥬르제주도련점_20211221,뚜레쥬르제주도련점,제주 제주시 도련이동 564-20번지 1층
뚱딴지_20220905,뚱딴지,제주 제주시 애월읍 신엄리 2814-1번지
뚱보아저씨_20180409,뚱보아저씨,제주 제주시 한경면 저지리 1715-24번지 1층
뚱보조개_20151207,뚱보조개,제주 제주시 이도이동 1188-10번지
뜰채1호점_20210216,뜰채1호점,제주 제주시 조천읍 함덕리 산 14-58번지
뜰채_20180912,뜰채,제주 서귀포시 서호동 1163-5번지 1층
띠아모제주공항점 2층_20191219,띠아모제주공항점 2층,제주 제주시 용담이동 2002번지 2층
라라라_20190704,라라라,제주 제주시 구좌읍 세화리 1498-3번지 구좌
라라코스트 서귀포점_20180420,라라코스트 서귀포점,제주 서귀포시 동홍동 1542-5번지 2층
라스또르따스시청점_20160816,라스또르따스시청점,제주 제주시 이도이동 1179-16번지 1층
라이터스블럭(writer's block)_20200806,라이터스블럭(writer's block),제주 제주시 이도이동 1947-1번지 1층 102호
라이프_20180806,라이프,제주 제주시 노형동 920번지 1층 101호
랜돌프비어인제주_20221110,랜돌프비어인제주,제주 제주시 노형동 944-20번지 1층
램앤블랙_20220103,램앤블랙,제주 제주시 조천읍 교래리 471-3번지 1층
러디스_20210820,러디스,제주 서귀포시 강정동 708번지 외 1필지
럭키라운지펌_20180306,럭키라운지펌,제주 제주시 이도이동 1772-19번지 7층
럭키상회_20221107,럭키상회,제주 서귀포시 서귀동 162-2번지 3층
레이지펌프_20190220,레이지펌프,제주 제주시 애월읍 애월리 2578-1번지 1동 2층
레인보우치킨_20170829,레인보우치킨,제주 제주시 조천읍 대흘리 1073-11번지 조천
로꼬돈흑돼지_20220411,로꼬돈흑돼지,제주 제주시 애월읍 신엄리 989-2번지 1층
로당_20050523,로당,제주 제주시 이도이동 1769-8번지
로당연동점_20061218,로당연동점,제주 제주시 연동 273-53번지
로맨틱새우_20180417,로맨틱새우,제주 제주시 애월읍 곽지리 1584-5번지 1층
로빙화_20170421,로빙화,제주 서귀포시 남원읍 남원리 1398-7번지
로얄바_20200428,로얄바,제주 제주시 연동 273-25번지 2층
로화룡양꼬치_20170104,로화룡양꼬치,제주 제주시 이도이동 408-3번지 1층
롯데리아 제주공항국내선탑승점_20190919,롯데리아 제주공항국내선탑승점,제주 제주시 용담이동 2002번지 국내선 2층
롯데리아 제주항디티점_20140918,롯데리아 제주항디티점,제주 제주시 건입동 940-12번지 1층 2호 층
롯데리아제주삼화지구점_20150728,롯데리아제주삼화지구점,제주 제주시 도련일동 1938-5번지
롯데리아제주아라점_20190225,롯데리아제주아라점,제주 제주시 아라일동 6105번지
롯데리아제주외도디티점_20150223,롯데리아제주외도디티점,제주 제주시 외도이동 343-9번지 1층
롯데리아제주표선해변점_20210325,롯데리아제주표선해변점,제주 서귀포시 표선면 표선리 879번지 1층
롯데지알에스(주)엔제리너스제주공항1층점_20210225,롯데지알에스(주)엔제리너스제주공항1층점,제주 제주시 용담이동 2002번지 제주국제공항 1호 여객청사 층
롱리브_20180515,롱리브,제주 제주시 아라일동 6044-3번지 아라지엘지
롱플레이_20220620,롱플레이,제주 제주시 구좌읍 동복리 1456-1번지 1층
룡천왕갈비탕_20160823,룡천왕갈비탕,제주 제주시 오라일동 2446번지 1층
루스트 삼화점_20141202,루스트 삼화점,제주 제주시 화북일동 1023-5번지
루스트_20101209,루스트,제주 제주시 노형동 2586-4번지 2층
루스트서귀포점_20160907,루스트서귀포점,제주 서귀포시 강정동 163번지 GWANGJIN하우스
루스트익스프레스루스트플레이스팍차이나_20140403,루스트익스프레스루스트플레이스팍차이나,제주 제주시 연동 284-5번지 미도스카이빌 2층
루스트플레이스 봉개점_20221017,루스트플레이스 봉개점,제주 제주시 봉개동 1886번지 2층
루스트플레이스 아라점_20160526,루스트플레이스 아라점,제주 제주시 아라일동 6092-11번지 201호
루스트플레이스 인제점_20220121,루스트플레이스 인제점,제주 제주시 일도이동 409-7번지 1층
루스트플레이스 함덕해수욕장점_20200722,루스트플레이스 함덕해수욕장점,제주 제주시 조천읍 함덕리 1004-28번지 3층
루스트플레이스구남점_20191223,루스트플레이스구남점,제주 제주시 아라일동 6035-3번지 2층
루스트플레이스베라체점_20130419,루스트플레이스베라체점,제주 제주시 아라이동 3001-10번지 한라훠프라자
루스트플레이스시청점_20160122,루스트플레이스시청점,제주 제주시 이도이동 1768-8번지 1층
루스트플레이스아이파크점_20170608,루스트플레이스아이파크점,제주 제주시 노형동 3780-4번지 2호 ~3층
루스트플레이스외도점_20150421,루스트플레이스외도점,제주 제주시 외도일동 636-6번지 1층
루스트플레이스칠성로점_20150904,루스트플레이스칠성로점,제주 제주시 일도일동 1298-6번지 2층
류차이_20110920,류차이,제주 서귀포시 대포동 748번지 1층
르부이부이_20130603,르부이부이,제주 제주시 건입동 674-23번지 성원연립 101호
리볼버_20210601,리볼버,제주 서귀포시 상예동 584-2번지 1층
리치망고도두해안로점_20220627,리치망고도두해안로점,제주 제주시 도두일동 1753-1번지 1층
리치망고신화월드점_20200528,리치망고신화월드점,제주 서귀포시 안덕면 서광리 산 24번지 지하1층
리치망고함덕점_20181023,리치망고함덕점,제주 제주시 조천읍 함덕리 1004-30번지 1층 101호
리틀비엣_20180711,리틀비엣,제주 제주시 아라일동 6109-1번지 1층
마녀상회_20200921,마녀상회,제주 서귀포시 대정읍 무릉리 3815-1번지 제3동
마노르블랑_20151119,마노르블랑,제주 서귀포시 안덕면 덕수리 2952번지 1층
마노커피하우스_20180614,마노커피하우스,제주 서귀포시 중문동 2121번지 1층
마농삼계탕_20180307,마농삼계탕,제주 서귀포시 강정동 160번지
마농오메기통닭마농문어통닭_20190604,마농오메기통닭마농문어통닭,제주 서귀포시 서귀동 276-19번지 1층 3호
마농치킨중앙통닭3호점_20141106,마농치킨중앙통닭3호점,제주 서귀포시 서귀동 278-5번지
마니주_20121015,마니주,제주 제주시 애월읍 광령리 3105-9번지 1동 2층
마님순대_20201229,마님순대,제주 제주시 노형동 724번지 1층
마당깊은집_20010712,마당깊은집,제주 서귀포시 색달동 2504번지
마당집_20110324,마당집,제주 제주시 한림읍 한림리 1300-1번지 1층
마돈_20170119,마돈,제주 서귀포시 성산읍 고성리 206-11번지
마두천_20100114,마두천,제주 제주시 용담이동 940-15번지
마라도짜장면_20160408,마라도짜장면,제주 서귀포시 대정읍 가파리 709번지
마라도해녀촌_20110516,마라도해녀촌,제주 서귀포시 대정읍 가파리 588번지
마라양꼬치_20200306,마라양꼬치,제주 제주시 연동 273-34번지 1층
마라양꼬치노형점_20220810,마라양꼬치노형점,제주 제주시 노형동 1055-12번지
마루엔파니야_20221121,마루엔파니야,제주 제주시 용담삼동 2364-1번지 1층
마리조아_20150807,마리조아,제주 제주시 도련일동 1777-5번지 1층
마리조아_20190115,마리조아,제주 서귀포시 대포동 2232-1번지 2층
마린보이본점_20161111,마린보이본점,제주 제주시 용담삼동 2297-1번지 1동 2층
마마롱_20151224,마마롱,제주 제주시 애월읍 광령리 1011-7번지 1층
마마무말가든_20180723,마마무말가든,제주 제주시 오라이동 779-1번지 1층
마모루_20160802,마모루,제주 제주시 이도이동 1181-2번지 드림주택 1층 101호
마시레치킨_20170512,마시레치킨,제주 제주시 애월읍 하귀2리 1713번지
마시오름_20210414,마시오름,제주 서귀포시 서홍동 397-141번지
마우돈_20170131,마우돈,제주 서귀포시 성산읍 고성리 1064-3번지
마이도_20140822,마이도,제주 제주시 연동 282-32번지 1층 마이도
마주앉아_20110311,마주앉아,제주 서귀포시 서귀동 408-4번지
마지막해녀_20221108,마지막해녀,제주 제주시 이도이동 1055-4번지 1층
마틸다_20140911,마틸다,제주 제주시 애월읍 고내리 841번지 1층
막둥이횟집_20141209,막둥이횟집,제주 제주시 노형동 929-10번지
막쇠_20181207,막쇠,제주 제주시 연동 261-28번지
막창먹는놈 중문점_20151223,막창먹는놈 중문점,제주 서귀포시 중문동 2120-7번지
만강촌옛날칼국수_20190514,만강촌옛날칼국수,제주 제주시 노형동 1043-3번지
만궁_19971211,만궁,제주 제주시 아라일동 1476번지
만덕이네_20111212,만덕이네,제주 서귀포시 표선면 성읍리 1623-3번지 만덕이네
만배성_20080122,만배성,제주 제주시 아라일동 2889-2번지 1호 2층
만배식당_20191125,만배식당,제주 제주시 도두일동 2587번지 1층
만복흑돼지_20121024,만복흑돼지,제주 서귀포시 안덕면 화순리 1868-8번지 만복흑돼지
만부정_19960205,만부정,제주 제주시 연동 262-3번지
만사성_20070416,만사성,제주 서귀포시 서귀동 90-1번지
만선민물장어_20210928,만선민물장어,제주 서귀포시 중문동 2079-3번지 1층
만선바다_20110201,만선바다,제주 제주시 연동 260-31번지
만월당_20200305,만월당,제주 서귀포시 남원읍 남원리 2336-4번지
만장일치본점_20190321,만장일치본점,제주 제주시 삼도이동 1192-12번지 1층 4호
만족한상회_20180329,만족한상회,제주 서귀포시 중문동 1665-5번지 1층
만호_20160527,만호,제주 제주시 이도이동 413-3번지 1동 2층
말렛(MALLET)_20200423,말렛(MALLET),제주 제주시 노형동 3780-3번지 1층
말로_20190612,말로,제주 제주시 조천읍 교래리 619번지 1층
맛나감자탕제주1호점_20150407,맛나감자탕제주1호점,제주 제주시 노형동 2524-5번지
맛나식당_20160502,맛나식당,제주 서귀포시 성산읍 고성리 316-9번지
맛디댜피자대정점_20210604,맛디댜피자대정점,제주 서귀포시 대정읍 보성리 2476-13번지 A104호
맛무한가마솥막창국밥아라점_20080627,맛무한가마솥막창국밥아라점,제주 제주시 아라일동 6082-17번지
맛있는소리도련점_20180720,맛있는소리도련점,제주 제주시 도련일동 1609-22번지 1층
맛있는온도_20181218,맛있는온도,제주 제주시 일도이동 50-4번지 1층
맛있수다_20200605,맛있수다,제주 서귀포시 상예동 576-1번지 1호
맛집올레_20180330,맛집올레,제주 제주시 삼양이동 2135-4번지 거석빌라트 1층 101호
망고레이필리핀디저트카페_20141104,망고레이필리핀디저트카페,제주 서귀포시 성산읍 고성리 204-2번지
망고하이_20210702,망고하이,제주 서귀포시 색달동 2125번지 2층
망고홀릭제주본점_20141205,망고홀릭제주본점,제주 제주시 노형동 75-10번지 가동 1층
망고홀릭종달점_20210818,망고홀릭종달점,제주 제주시 구좌읍 종달리 1094번지 제3동 1호
매니아  불닭  용담점_20100618,매니아  불닭  용담점,제주 제주시 용담이동 623-23번지
매머드익스프레스 제주아라이도점_20211222,매머드익스프레스 제주아라이도점,제주 제주시 아라이동 3001-4번지 1동 2층
매일올레돈_20200721,매일올레돈,제주 서귀포시 서귀동 278-9번지 1층
매콤달콤오일장떡볶이_20071017,매콤달콤오일장떡볶이,제주 제주시 일도일동 1102-3번지
맥파이블루버드_20181115,맥파이블루버드,제주 제주시 삼도이동 1260-5번지 1호 ~2층
맥파이탭룸_20160524,맥파이탭룸,제주 제주시 회천동 1309번지 A동
맨도롱밥집_20150717,맨도롱밥집,제주 제주시 애월읍 장전리 385-4번지
맨도롱해장국_20120731,맨도롱해장국,제주 서귀포시 서귀동 313-5번지
맵수다 노형점_20160401,맵수다 노형점,제주 제주시 노형동 1042-19번지
머문_20180420,머문,제주 제주시 구좌읍 월정리 539번지 2층
먹고정_20170626,먹고정,제주 서귀포시 서귀동 427-8번지
먹돌_20210520,먹돌,제주 제주시 용담이동 1564번지 1층 먹돌
먹보횟집_20191217,먹보횟집,제주 제주시 연동 283-29번지 1층
멍 우주_20220114,멍 우주,제주 서귀포시 안덕면 창천리 784번지 1층
메가박스 제주삼화_20181025,메가박스 제주삼화,제주 제주시 삼양이동 1477-8번지
메가엠지씨커피 제주남원점_20180723,메가엠지씨커피 제주남원점,제주 서귀포시 남원읍 남원리 119-3번지 1층
메가엠지씨커피516도로점_20181126,메가엠지씨커피516도로점,제주 서귀포시 토평동 2221-10번지 1층
메가엠지씨커피신제주점_20221102,메가엠지씨커피신제주점,제주 제주시 연동 262-19번지 1층
메가엠지씨커피제주대점_20200311,메가엠지씨커피제주대점,제주 제주시 아라이동 35-21번지 1층
메가엠지씨커피제주도청점_20191101,메가엠지씨커피제주도청점,제주 제주시 연동 300-24번지 1층
메가엠지씨커피제주동광육거리점_20220120,메가엠지씨커피제주동광육거리점,제주 서귀포시 안덕면 동광리 826-2번지 1층
메가엠지씨커피제주동문시장점_20210422,메가엠지씨커피제주동문시장점,제주 제주시 일도일동 1476-37번지 1층 101호
메가엠지씨커피제주동홍중앙점_20221108,메가엠지씨커피제주동홍중앙점,제주 서귀포시 동홍동 382-1번지 1층
메가엠지씨커피제주무지개해안점_20221109,메가엠지씨커피제주무지개해안점,제주 제주시 도두일동 1732번지 B동 1층
메가엠지씨커피제주삼화지구점_20200313,메가엠지씨커피제주삼화지구점,제주 제주시 도련일동 1937-5번지 1층 102호
메가엠지씨커피제주아라점_20200709,메가엠지씨커피제주아라점,제주 제주시 아라일동 6091-2번지 1층
메가엠지씨커피제주일도점_20211126,메가엠지씨커피제주일도점,제주 제주시 일도이동 377-23번지 1층
메가엠지씨커피제주일주서로점_20221208,메가엠지씨커피제주일주서로점,제주 제주시 외도이동 1939번지 1층
메가엠지씨커피제주중앙중점_20220525,메가엠지씨커피제주중앙중점,제주 제주시 연동 313-47번지 연동세일빌라 1층 102호
메가엠지씨커피제주표선점_20220927,메가엠지씨커피제주표선점,제주 서귀포시 표선면 표선리 604번지
