MCT_YM,MCT_NM,name,ADDR,주소1,주소,result
메가엠지씨커피제주중앙중점_20220525,메가엠지씨커피제주중앙중점,메가MGC커피 제주중앙중점,제주 제주시 연동 313-47번지 연동세일빌라 1층 102호,FALSE,"https://map.naver.com/p/search/%EC%A0%9C%EC%A3%BC%20%EC%A0%9C%EC%A3%BC%EC%8B%9C%20%EC%97%B0%EB%8F%99%20313-47%EB%B2%88%EC%A7%80%20%EC%97%B0%EB%8F%99%EC%84%B8%EC%9D%BC%EB%B9%8C%EB%9D%BC%201%EC%B8%B5%20102%ED%98%B8/place/1263301265?c=15.00,0,0,0,dh&isCorrectAnswer=true",
메가엠지씨커피제주표선점_20220927,메가엠지씨커피제주표선점,메가MGC커피 제주표선점,제주 서귀포시 표선면 표선리 604번지,FALSE,"https://map.naver.com/p/search/%EC%A0%9C%EC%A3%BC%20%EC%84%9C%EA%B7%80%ED%8F%AC%EC%8B%9C%20%ED%91%9C%EC%84%A0%EB%A9%B4%20%ED%91%9C%EC%84%A0%EB%A6%AC%20604%EB%B2%88%EC%A7%80/place/1501946348?c=15.00,0,0,0,dh&isCorrectAnswer=true",
메가엠지씨커피제주한라대점_20221005,메가엠지씨커피제주한라대점,메가MGC커피 제주한라대점,제주 제주시 노형동 1561-3번지 미래파크빌 1층,FALSE,"https://map.naver.com/p/search/%EC%A0%9C%EC%A3%BC%20%EC%A0%9C%EC%A3%BC%EC%8B%9C%20%EB%85%B8%ED%98%95%EB%8F%99%201561-3%EB%B2%88%EC%A7%80%20%EB%AF%B8%EB%9E%98%ED%8C%8C%ED%81%AC%EB%B9%8C%201%EC%B8%B5/place/1859622499?c=15.00,0,0,0,dh&isCorrectAnswer=true",
메가커피 제주동홍점_20180502,메가커피 제주동홍점,메가MGC커피 동홍동점,제주 서귀포시 동홍동 511-23번지,FALSE,"https://map.naver.com/p/search/%EC%A0%9C%EC%A3%BC%20%EC%84%9C%EA%B7%80%ED%8F%AC%EC%8B%9C%20%EB%8F%99%ED%99%8D%EB%8F%99%20511-23%EB%B2%88%EC%A7%80/place/1023642600?c=15.00,0,0,0,dh&isCorrectAnswer=true",
명가_20131206,명가,명가솥뚜껑 서귀포흑돼지,제주 서귀포시 서귀동 267-6번지,FALSE,"https://map.naver.com/p/search/%EC%A0%9C%EC%A3%BC%20%EC%84%9C%EA%B7%80%ED%8F%AC%EC%8B%9C%20%EC%84%9C%EA%B7%80%EB%8F%99%20267-6%EB%B2%88%EC%A7%80/place/16911178?c=15.00,0,0,0,dh&isCorrectAnswer=true",
명가보쌈본점_20090506,명가보쌈본점,명가보쌈,제주 서귀포시 서귀동 408번지,FALSE,"https://map.naver.com/p/search/%EC%A0%9C%EC%A3%BC%20%EC%84%9C%EA%B7%80%ED%8F%AC%EC%8B%9C%20%EC%84%9C%EA%B7%80%EB%8F%99%20408%EB%B2%88%EC%A7%80/place/16967095?c=15.00,0,0,0,dh&isCorrectAnswer=true",
명륜진사갈비 연동점_20191122,명륜진사갈비 연동점,황금장어 황금한우 제주본점,제주 제주시 노형동 937-11번지 2층,FALSE,"https://map.naver.com/p/search/%EC%A0%9C%EC%A3%BC%20%EC%A0%9C%EC%A3%BC%EC%8B%9C%20%EB%85%B8%ED%98%95%EB%8F%99%20937-11%EB%B2%88%EC%A7%80%202%EC%B8%B5/place/1120241911?c=15.00,0,0,0,dh&isCorrectAnswer=true",
명륜진사갈비외도점_20191016,명륜진사갈비외도점,명륜진사갈비 제주외도점,제주 제주시 외도일동 637-11번지 1층,FALSE,"https://map.naver.com/p/search/%EC%A0%9C%EC%A3%BC%20%EC%A0%9C%EC%A3%BC%EC%8B%9C%20%EC%99%B8%EB%8F%84%EC%9D%BC%EB%8F%99%20637-11%EB%B2%88%EC%A7%80%201%EC%B8%B5/place/1030509098?c=15.00,0,0,0,dh&isCorrectAnswer=true",
명태명가_20180405,명태명가,하카전자담배 제주연북로직영점,제주 제주시 아라일동 2572-2번지 2층,FALSE,"https://map.naver.com/p/search/%EC%A0%9C%EC%A3%BC%20%EC%A0%9C%EC%A3%BC%EC%8B%9C%20%EC%95%84%EB%9D%BC%EC%9D%BC%EB%8F%99%202572-2%EB%B2%88%EC%A7%80%202%EC%B8%B5/place/1696162550?c=15.00,0,0,0,dh&isCorrectAnswer=true",
명태명가신제주점_20191014,명태명가신제주점,메콩스카이,제주 제주시 오라삼동 2912-7번지 2층,FALSE,"https://map.naver.com/p/search/%EC%A0%9C%EC%A3%BC%20%EC%A0%9C%EC%A3%BC%EC%8B%9C%20%EC%98%A4%EB%9D%BC%EC%82%BC%EB%8F%99%202912-7%EB%B2%88%EC%A7%80%202%EC%B8%B5/place/270528643?c=15.00,0,0,0,dh&isCorrectAnswer=true",
명호_20141205,명호,명호마농갈비 연동본점,제주 제주시 연동 292-57번지 1층,FALSE,"https://map.naver.com/p/search/%EC%A0%9C%EC%A3%BC%20%EC%A0%9C%EC%A3%BC%EC%8B%9C%20%EC%97%B0%EB%8F%99%20292-57%EB%B2%88%EC%A7%80%201%EC%B8%B5/place/1835331356?c=15.00,0,0,0,dh&isCorrectAnswer=true",
모루쿠다본점_20190618,모루쿠다본점,모루쿠다 서귀포올레시장점,제주 서귀포시 서귀동 204-2번지 1층,FALSE,"https://map.naver.com/p/search/%EC%A0%9C%EC%A3%BC%20%EC%84%9C%EA%B7%80%ED%8F%AC%EC%8B%9C%20%EC%84%9C%EA%B7%80%EB%8F%99%20204-2%EB%B2%88%EC%A7%80%201%EC%B8%B5/place/1660357714?c=15.00,0,0,0,dh&isCorrectAnswer=true",
모앙_20150108,모앙,안온헤어 제주노형점,제주 제주시 노형동 739번지,FALSE,"https://map.naver.com/p/search/%EC%A0%9C%EC%A3%BC%20%EC%A0%9C%EC%A3%BC%EC%8B%9C%20%EB%85%B8%ED%98%95%EB%8F%99%20739%EB%B2%88%EC%A7%80/place/1616253223?c=15.00,0,0,0,dh&isCorrectAnswer=true",
모이세해장국모습포점_20130725,모이세해장국모습포점,모이세해장국모슬포점,제주 서귀포시 대정읍 하모리 1415-4번지,FALSE,"https://map.naver.com/p/search/%EC%A0%9C%EC%A3%BC%20%EC%84%9C%EA%B7%80%ED%8F%AC%EC%8B%9C%20%EB%8C%80%EC%A0%95%EC%9D%8D%20%ED%95%98%EB%AA%A8%EB%A6%AC%201415-4%EB%B2%88%EC%A7%80/place/32920631?c=15.00,0,0,0,dh&isCorrectAnswer=true",
모이소_20170511,모이소,제주소품샵 모이소,제주 제주시 연동 262-51번지 2층,FALSE,"https://map.naver.com/p/search/%EC%A0%9C%EC%A3%BC%20%EC%A0%9C%EC%A3%BC%EC%8B%9C%20%EC%97%B0%EB%8F%99%20262-51%EB%B2%88%EC%A7%80%202%EC%B8%B5/place/55384400?c=15.00,0,0,0,dh&isCorrectAnswer=true",
모이자_20180730,모이자,모이자 소주호프,제주 제주시 도남동 905-28번지 도남동,FALSE,"https://map.naver.com/p/search/%EC%A0%9C%EC%A3%BC%20%EC%A0%9C%EC%A3%BC%EC%8B%9C%20%EB%8F%84%EB%82%A8%EB%8F%99%20905-28%EB%B2%88%EC%A7%80%20%EB%8F%84%EB%82%A8%EB%8F%99/place/36863442?c=15.00,0,0,0,dh&isCorrectAnswer=true",
모해_20161227,모해,모해통갈치화덕구이,제주 서귀포시 성산읍 성산리 150번지,FALSE,"https://map.naver.com/p/search/%EC%A0%9C%EC%A3%BC%20%EC%84%9C%EA%B7%80%ED%8F%AC%EC%8B%9C%20%EC%84%B1%EC%82%B0%EC%9D%8D%20%EC%84%B1%EC%82%B0%EB%A6%AC%20150%EB%B2%88%EC%A7%80/place/695871590?c=15.00,0,0,0,dh&isCorrectAnswer=true",
목포고을본점_19990731,목포고을본점,목포고을,제주 서귀포시 색달동 2124-3번지,FALSE,"https://map.naver.com/p/search/%EC%A0%9C%EC%A3%BC%20%EC%84%9C%EA%B7%80%ED%8F%AC%EC%8B%9C%20%EC%83%89%EB%8B%AC%EB%8F%99%202124-3%EB%B2%88%EC%A7%80/place/16932980?c=15.00,0,0,0,dh&isCorrectAnswer=true",
몽돌_20181024,몽돌,뽕이네각재기 1호점외도,제주 제주시 외도일동 477-4번지 1층,FALSE,"https://map.naver.com/p/search/%EC%A0%9C%EC%A3%BC%20%EC%A0%9C%EC%A3%BC%EC%8B%9C%20%EC%99%B8%EB%8F%84%EC%9D%BC%EB%8F%99%20477-4%EB%B2%88%EC%A7%80%201%EC%B8%B5/place/1457112981?c=15.00,0,0,0,dh&isCorrectAnswer=true",
무무(mumu)_20160719,무무(mumu),무무제주,제주 제주시 애월읍 봉성리 3853-1번지,FALSE,"https://map.naver.com/p/search/%EC%A0%9C%EC%A3%BC%20%EC%A0%9C%EC%A3%BC%EC%8B%9C%20%EC%95%A0%EC%9B%94%EC%9D%8D%20%EB%B4%89%EC%84%B1%EB%A6%AC%203853-1%EB%B2%88%EC%A7%80/place/1629275091?c=15.00,0,0,0,dh&isCorrectAnswer=true",
무용담_20210730,무용담,,제주 제주시 용담이동 448번지 1층,FALSE,"https://map.naver.com/p/search/%EC%A0%9C%EC%A3%BC%20%EC%A0%9C%EC%A3%BC%EC%8B%9C%20%EC%9A%A9%EB%8B%B4%EC%9D%B4%EB%8F%99%20448%EB%B2%88%EC%A7%80%201%EC%B8%B5?c=15.00,0,0,0,dh",
무지개맥주 제주일도본점_20220218,무지개맥주 제주일도본점,,제주 제주시 이도이동 409번지 1층 102호,FALSE,"https://map.naver.com/p/search/%EC%A0%9C%EC%A3%BC%20%EC%A0%9C%EC%A3%BC%EC%8B%9C%20%EC%9D%B4%EB%8F%84%EC%9D%B4%EB%8F%99%20409%EB%B2%88%EC%A7%80%201%EC%B8%B5%20102%ED%98%B8?c=15.00,0,0,0,dh",
무한정_20091216,무한정,외도회수산,제주 제주시 외도일동 642-6번지,FALSE,"https://map.naver.com/p/search/%EC%A0%9C%EC%A3%BC%20%EC%A0%9C%EC%A3%BC%EC%8B%9C%20%EC%99%B8%EB%8F%84%EC%9D%BC%EB%8F%99%20642-6%EB%B2%88%EC%A7%80/place/1615855636?c=15.00,0,0,0,dh&isCorrectAnswer=true",
문쏘본점_20200601,문쏘본점,문쏘 제주협재점,제주 제주시 한림읍 옹포리 326-3번지 1층,FALSE,"https://map.naver.com/p/search/%EC%A0%9C%EC%A3%BC%20%EC%A0%9C%EC%A3%BC%EC%8B%9C%20%ED%95%9C%EB%A6%BC%EC%9D%8D%20%EC%98%B9%ED%8F%AC%EB%A6%AC%20326-3%EB%B2%88%EC%A7%80%201%EC%B8%B5/place/38323100?c=15.00,0,0,0,dh&isCorrectAnswer=true",
물항식당본점_20010929,물항식당본점,물항식당 탑동점,제주 제주시 건입동 1319-14번지,FALSE,"https://map.naver.com/p/search/%EC%A0%9C%EC%A3%BC%20%EC%A0%9C%EC%A3%BC%EC%8B%9C%20%EA%B1%B4%EC%9E%85%EB%8F%99%201319-14%EB%B2%88%EC%A7%80/place/11712303?c=15.00,0,0,0,dh&isCorrectAnswer=true",
미래부페장식_20140326,미래부페장식,미래뷔페정식,제주 서귀포시 토평동 2217번지,FALSE,"https://map.naver.com/p/search/%EC%A0%9C%EC%A3%BC%20%EC%84%9C%EA%B7%80%ED%8F%AC%EC%8B%9C%20%ED%86%A0%ED%8F%89%EB%8F%99%202217%EB%B2%88%EC%A7%80/place/671675781?c=15.00,0,0,0,dh&isCorrectAnswer=true",
미스터빠삭  제주외도점_20200901,미스터빠삭  제주외도점,미스터빠삭 제주외도점,제주 제주시 외도이동 1924번지,FALSE,"https://map.naver.com/p/search/%EC%A0%9C%EC%A3%BC%20%EC%A0%9C%EC%A3%BC%EC%8B%9C%20%EC%99%B8%EB%8F%84%EC%9D%B4%EB%8F%99%201924%EB%B2%88%EC%A7%80/place/1558544563?c=15.00,0,0,0,dh&isCorrectAnswer=true",
미우_20210303,미우,,제주 제주시 이도이동 1948-9번지,FALSE,"https://map.naver.com/p/search/%EC%A0%9C%EC%A3%BC%20%EC%A0%9C%EC%A3%BC%EC%8B%9C%20%EC%9D%B4%EB%8F%84%EC%9D%B4%EB%8F%99%201948-9%EB%B2%88%EC%A7%80?c=15.00,0,0,0,dh",
미풍식당_20071231,미풍식당,,제주 제주시 삼도이동 143-2번지,FALSE,"https://map.naver.com/p/search/%EC%A0%9C%EC%A3%BC%20%EC%A0%9C%EC%A3%BC%EC%8B%9C%20%EC%82%BC%EB%8F%84%EC%9D%B4%EB%8F%99%20143-2%EB%B2%88%EC%A7%80?c=15.00,0,0,0,dh",
미풍해장국_20170324,미풍해장국,미풍해장국 표선점,제주 서귀포시 표선면 표선리 1615-3번지,FALSE,"https://map.naver.com/p/search/%EC%A0%9C%EC%A3%BC%20%EC%84%9C%EA%B7%80%ED%8F%AC%EC%8B%9C%20%ED%91%9C%EC%84%A0%EB%A9%B4%20%ED%91%9C%EC%84%A0%EB%A6%AC%201615-3%EB%B2%88%EC%A7%80/place/38525868?c=15.00,0,0,0,dh&isCorrectAnswer=true",
바다를 본 돼지 2호점_20160229,바다를 본 돼지 2호점,바다를본돼지 제주공항점,제주 제주시 노형동 1055-4번지,FALSE,"https://map.naver.com/p/search/%EC%A0%9C%EC%A3%BC%20%EC%A0%9C%EC%A3%BC%EC%8B%9C%20%EB%85%B8%ED%98%95%EB%8F%99%201055-4%EB%B2%88%EC%A7%80/place/37638522?c=15.00,0,0,0,dh&isCorrectAnswer=true",
바다를본돼지(서귀포점)_20181206,바다를본돼지(서귀포점),바다를본돼지 서귀포올레시장점,제주 서귀포시 서귀동 42번지 2층,FALSE,"https://map.naver.com/p/search/%EC%A0%9C%EC%A3%BC%20%EC%84%9C%EA%B7%80%ED%8F%AC%EC%8B%9C%20%EC%84%9C%EA%B7%80%EB%8F%99%2042%EB%B2%88%EC%A7%80%202%EC%B8%B5/place/1258606233?c=15.00,0,0,0,dh&isCorrectAnswer=true",
바다수선화식당_20220512,바다수선화식당,수선화식당 협재점,제주 제주시 한림읍 협재리 1660-1번지,FALSE,"https://map.naver.com/p/search/%EC%A0%9C%EC%A3%BC%20%EC%A0%9C%EC%A3%BC%EC%8B%9C%20%ED%95%9C%EB%A6%BC%EC%9D%8D%20%ED%98%91%EC%9E%AC%EB%A6%AC%201660-1%EB%B2%88%EC%A7%80/place/1479638093?c=15.00,0,0,0,dh&isCorrectAnswer=true",
바다이야기_20191105,바다이야기,바다이야기,제주 서귀포시 대포동 1998-2번지,FALSE,"https://map.naver.com/p/search/%EC%A0%9C%EC%A3%BC%20%EC%84%9C%EA%B7%80%ED%8F%AC%EC%8B%9C%20%EB%8C%80%ED%8F%AC%EB%8F%99%201998-2%EB%B2%88%EC%A7%80/place/1933562182?c=15.00,0,0,0,dh&isCorrectAnswer=true",
바다풍경_20000107,바다풍경,성산바다풍경 제주성산일출봉점,제주 서귀포시 성산읍 성산리 297-1번지,FALSE,"https://map.naver.com/p/search/%EC%A0%9C%EC%A3%BC%20%EC%84%9C%EA%B7%80%ED%8F%AC%EC%8B%9C%20%EC%84%B1%EC%82%B0%EC%9D%8D%20%EC%84%B1%EC%82%B0%EB%A6%AC%20297-1%EB%B2%88%EC%A7%80/place/11875704?c=15.00,0,0,0,dh&isCorrectAnswer=true",
바르다김선생 제주연동신시가지점_20200528,바르다김선생 제주연동신시가지점,샐러디 제주노형점,제주 제주시 노형동 719-2번지 지하 1층 102호,FALSE,"https://map.naver.com/p/search/%EC%A0%9C%EC%A3%BC%20%EC%A0%9C%EC%A3%BC%EC%8B%9C%20%EB%85%B8%ED%98%95%EB%8F%99%20719-2%EB%B2%88%EC%A7%80%20%EC%A7%80%ED%95%98%201%EC%B8%B5%20102%ED%98%B8/place/1474126216?c=15.00,0,0,0,dh&isCorrectAnswer=true",
바토라브와르_20220727,바토라브와르,멜버즈 노형본점,제주 제주시 노형동 716번지 지하1층,FALSE,"https://map.naver.com/p/search/%EC%A0%9C%EC%A3%BC%20%EC%A0%9C%EC%A3%BC%EC%8B%9C%20%EB%85%B8%ED%98%95%EB%8F%99%20716%EB%B2%88%EC%A7%80%20%EC%A7%80%ED%95%981%EC%B8%B5/place/1099239002?c=15.00,0,0,0,dh&isCorrectAnswer=true",
배스킨라빈스 서귀포혁신점_20170419,배스킨라빈스 서귀포혁신점,배스킨라빈스 서귀포혁신,제주 서귀포시 강정동 172-6번지 지1층,FALSE,"https://map.naver.com/p/search/%EC%A0%9C%EC%A3%BC%20%EC%84%9C%EA%B7%80%ED%8F%AC%EC%8B%9C%20%EA%B0%95%EC%A0%95%EB%8F%99%20172-6%EB%B2%88%EC%A7%80%20%EC%A7%801%EC%B8%B5/place/457333249?c=15.00,0,0,0,dh&isCorrectAnswer=true",
배스킨라빈스_20050707,배스킨라빈스,김밥천국서귀포점,제주 서귀포시 서귀동 423-4번지,FALSE,"https://map.naver.com/p/search/%EC%A0%9C%EC%A3%BC%20%EC%84%9C%EA%B7%80%ED%8F%AC%EC%8B%9C%20%EC%84%9C%EA%B7%80%EB%8F%99%20423-4%EB%B2%88%EC%A7%80/place/17046344?c=15.00,0,0,0,dh&isCorrectAnswer=true",
배스킨라빈스노형점_20061101,배스킨라빈스노형점,위소아청소년과의원,제주 제주시 노형동 2581-3번지,FALSE,"https://map.naver.com/p/search/%EC%A0%9C%EC%A3%BC%20%EC%A0%9C%EC%A3%BC%EC%8B%9C%20%EB%85%B8%ED%98%95%EB%8F%99%202581-3%EB%B2%88%EC%A7%80/place/1071185442?c=15.00,0,0,0,dh&isCorrectAnswer=true",
배스킨라빈스시청점_19891117,배스킨라빈스시청점,,제주 제주시 이도이동 1772-20번지,FALSE,"https://map.naver.com/p/search/%EC%A0%9C%EC%A3%BC%20%EC%A0%9C%EC%A3%BC%EC%8B%9C%20%EC%9D%B4%EB%8F%84%EC%9D%B4%EB%8F%99%201772-20%EB%B2%88%EC%A7%80?c=15.00,0,0,0,dh",
배스킨라빈스제주아라점_20171010,배스킨라빈스제주아라점,빨간집 아라점,제주 제주시 아라일동 6092-4번지 1층,FALSE,"https://map.naver.com/p/search/%EC%A0%9C%EC%A3%BC%20%EC%A0%9C%EC%A3%BC%EC%8B%9C%20%EC%95%84%EB%9D%BC%EC%9D%BC%EB%8F%99%206092-4%EB%B2%88%EC%A7%80%201%EC%B8%B5/place/773455185?c=15.00,0,0,0,dh&isCorrectAnswer=true",
배스킨라빈스제주함덕점_20170704,배스킨라빈스제주함덕점,아로마핸즈,제주 제주시 조천읍 함덕리 1004-28번지 1층,FALSE,"https://map.naver.com/p/search/%EC%A0%9C%EC%A3%BC%20%EC%A0%9C%EC%A3%BC%EC%8B%9C%20%EC%A1%B0%EC%B2%9C%EC%9D%8D%20%ED%95%A8%EB%8D%95%EB%A6%AC%201004-28%EB%B2%88%EC%A7%80%201%EC%B8%B5/place/1285162477?c=15.00,0,0,0,dh&isCorrectAnswer=true",
백가네제주한상_20210326,백가네제주한상,백가네제주한상,제주 제주시 조천읍 함덕리 산 14-13번지 1층,FALSE,"https://map.naver.com/p/search/%EC%A0%9C%EC%A3%BC%20%EC%A0%9C%EC%A3%BC%EC%8B%9C%20%EC%A1%B0%EC%B2%9C%EC%9D%8D%20%ED%95%A8%EB%8D%95%EB%A6%AC%20%EC%82%B0%2014-13%EB%B2%88%EC%A7%80%201%EC%B8%B5/place/1069438409?c=15.00,0,0,0,dh&isCorrectAnswer=true",
백스비어 제주인제점_20220317,백스비어 제주인제점,,제주 제주시 일도이동 49-3번지 1층,FALSE,"https://map.naver.com/p/search/%EC%A0%9C%EC%A3%BC%20%EC%A0%9C%EC%A3%BC%EC%8B%9C%20%EC%9D%BC%EB%8F%84%EC%9D%B4%EB%8F%99%2049-3%EB%B2%88%EC%A7%80%201%EC%B8%B5?c=15.00,0,0,0,dh",
뱃도새기함덕점(주식회사 록산)_20190117,뱃도새기함덕점(록산),뱃도새기 함덕흑돼지 김녕월정리세화구좌점,제주 제주시 조천읍 함덕리 4156-2번지,FALSE,"https://map.naver.com/p/search/%EC%A0%9C%EC%A3%BC%20%EC%A0%9C%EC%A3%BC%EC%8B%9C%20%EC%A1%B0%EC%B2%9C%EC%9D%8D%20%ED%95%A8%EB%8D%95%EB%A6%AC%204156-2%EB%B2%88%EC%A7%80/place/1094744974?c=15.00,0,0,0,dh&isCorrectAnswer=true",
버드나무_20070522,버드나무,굴무기낭,제주 제주시 애월읍 납읍리 2463번지 2층,FALSE,"https://map.naver.com/p/search/%EC%A0%9C%EC%A3%BC%20%EC%A0%9C%EC%A3%BC%EC%8B%9C%20%EC%95%A0%EC%9B%94%EC%9D%8D%20%EB%82%A9%EC%9D%8D%EB%A6%AC%202463%EB%B2%88%EC%A7%80%202%EC%B8%B5/place/1915015443?c=15.00,0,0,0,dh&isCorrectAnswer=true",
버들간이식당_20060703,버들간이식당,대도식당,제주 서귀포시 서귀동 ,FALSE,"https://map.naver.com/p/search/%EC%A0%9C%EC%A3%BC%20%EC%84%9C%EA%B7%80%ED%8F%AC%EC%8B%9C%20%EC%84%9C%EA%B7%80%EB%8F%99%20/place/16965139?c=15.00,0,0,0,dh&isCorrectAnswer=true",
벌집식당_19990122,벌집식당,쏘맥술래방,제주 서귀포시 서귀동 573-3번지,FALSE,"https://map.naver.com/p/search/%EC%A0%9C%EC%A3%BC%20%EC%84%9C%EA%B7%80%ED%8F%AC%EC%8B%9C%20%EC%84%9C%EA%B7%80%EB%8F%99%20573-3%EB%B2%88%EC%A7%80/place/37048352?c=15.00,0,0,0,dh&isCorrectAnswer=true",
범식당_20180920,범식당,성산갯마을식당 성산일출봉점,제주 서귀포시 성산읍 오조리 343번지 2층,FALSE,"https://map.naver.com/p/search/%EC%A0%9C%EC%A3%BC%20%EC%84%9C%EA%B7%80%ED%8F%AC%EC%8B%9C%20%EC%84%B1%EC%82%B0%EC%9D%8D%20%EC%98%A4%EC%A1%B0%EB%A6%AC%20343%EB%B2%88%EC%A7%80%202%EC%B8%B5/place/16948039?c=15.00,0,0,0,dh&isCorrectAnswer=true",
범일분식_20151130,범일분식,휴애리자연생활공원,제주 서귀포시 남원읍 남원리 139-7번지,FALSE,"https://map.naver.com/p/search/%EC%A0%9C%EC%A3%BC%20%EC%84%9C%EA%B7%80%ED%8F%AC%EC%8B%9C%20%EB%82%A8%EC%9B%90%EC%9D%8D%20%EB%82%A8%EC%9B%90%EB%A6%AC%20139-7%EB%B2%88%EC%A7%80/place/12047800?c=15.00,0,0,0,dh&isCorrectAnswer=true",
베이커리포그_20140321,베이커리포그,수목원테마파크,제주 제주시 아라일동 6095-13번지,FALSE,"https://map.naver.com/p/search/%EC%A0%9C%EC%A3%BC%20%EC%A0%9C%EC%A3%BC%EC%8B%9C%20%EC%95%84%EB%9D%BC%EC%9D%BC%EB%8F%99%206095-13%EB%B2%88%EC%A7%80/place/30811752?c=15.00,0,0,0,dh&isCorrectAnswer=true",
베케영농조합법인 베케_20180621,베케영농조합법인 베케,엉덩물계곡,제주 서귀포시 신효동 1137-1번지,FALSE,"https://map.naver.com/p/search/%EC%A0%9C%EC%A3%BC%20%EC%84%9C%EA%B7%80%ED%8F%AC%EC%8B%9C%20%EC%8B%A0%ED%9A%A8%EB%8F%99%201137-1%EB%B2%88%EC%A7%80/place/1372279326?c=15.00,0,0,0,dh&isCorrectAnswer=true",
벨아벨카페_20201019,벨아벨카페,,제주 제주시 용담이동 2002번지 4층,FALSE,"https://map.naver.com/p/search/%EC%A0%9C%EC%A3%BC%20%EC%A0%9C%EC%A3%BC%EC%8B%9C%20%EC%9A%A9%EB%8B%B4%EC%9D%B4%EB%8F%99%202002%EB%B2%88%EC%A7%80%204%EC%B8%B5?c=15.00,0,0,0,dh",
별미집_20121008,별미집,별미콩나물국밥집,제주 제주시 노형동 1044-14번지 1층,FALSE,"https://map.naver.com/p/search/%EC%A0%9C%EC%A3%BC%20%EC%A0%9C%EC%A3%BC%EC%8B%9C%20%EB%85%B8%ED%98%95%EB%8F%99%201044-14%EB%B2%88%EC%A7%80%201%EC%B8%B5/place/1980057487?c=15.00,0,0,0,dh&isCorrectAnswer=true",
보말보말_20190905,보말보말,투피쉬하우스,제주 제주시 애월읍 애월리 2008-1번지 1층,FALSE,"https://map.naver.com/p/search/%EC%A0%9C%EC%A3%BC%20%EC%A0%9C%EC%A3%BC%EC%8B%9C%20%EC%95%A0%EC%9B%94%EC%9D%8D%20%EC%95%A0%EC%9B%94%EB%A6%AC%202008-1%EB%B2%88%EC%A7%80%201%EC%B8%B5/place/1545642460?c=15.00,0,0,0,dh&isCorrectAnswer=true",
보물선_20120731,보물선,,제주 제주시 용담일동 424번지,FALSE,"https://map.naver.com/p/search/%EC%A0%9C%EC%A3%BC%20%EC%A0%9C%EC%A3%BC%EC%8B%9C%20%EC%9A%A9%EB%8B%B4%EC%9D%BC%EB%8F%99%20424%EB%B2%88%EC%A7%80?c=15.00,0,0,0,dh",
보물섬식당_20060206,보물섬식당,보물섬횟집,제주 서귀포시 서귀동 7-1번지,FALSE,"https://map.naver.com/p/search/%EC%A0%9C%EC%A3%BC%20%EC%84%9C%EA%B7%80%ED%8F%AC%EC%8B%9C%20%EC%84%9C%EA%B7%80%EB%8F%99%207-1%EB%B2%88%EC%A7%80/place/38457203?c=15.00,0,0,0,dh&isCorrectAnswer=true",
복집_20180801,복집,,제주 제주시 용담일동 109번지 1층,FALSE,"https://map.naver.com/p/search/%EC%A0%9C%EC%A3%BC%20%EC%A0%9C%EC%A3%BC%EC%8B%9C%20%EC%9A%A9%EB%8B%B4%EC%9D%BC%EB%8F%99%20109%EB%B2%88%EC%A7%80%201%EC%B8%B5?c=15.00,0,0,0,dh",
본가 프리미엄 호텔더본점_20180920,본가 프리미엄 호텔더본점,본테라피 더본호텔 중문점,제주 서귀포시 색달동 2138번지 지하 1층 1호,FALSE,"https://map.naver.com/p/search/%EC%A0%9C%EC%A3%BC%20%EC%84%9C%EA%B7%80%ED%8F%AC%EC%8B%9C%20%EC%83%89%EB%8B%AC%EB%8F%99%202138%EB%B2%88%EC%A7%80%20%EC%A7%80%ED%95%98%201%EC%B8%B5%201%ED%98%B8/place/37868703?c=15.00,0,0,0,dh&isCorrectAnswer=true",
본가_20060216,본가,본가 1호점,제주 제주시 도남동 66-1번지,FALSE,"https://map.naver.com/p/search/%EC%A0%9C%EC%A3%BC%20%EC%A0%9C%EC%A3%BC%EC%8B%9C%20%EB%8F%84%EB%82%A8%EB%8F%99%2066-1%EB%B2%88%EC%A7%80/place/16813241?c=15.00,0,0,0,dh&isCorrectAnswer=true",
본가장수촌_20150914,본가장수촌,본가장수촌,제주 제주시 노형동 735번지,FALSE,"https://map.naver.com/p/search/%EC%A0%9C%EC%A3%BC%20%EC%A0%9C%EC%A3%BC%EC%8B%9C%20%EB%85%B8%ED%98%95%EB%8F%99%20735%EB%B2%88%EC%A7%80/place/1930256277?c=15.00,0,0,0,dh&isCorrectAnswer=true",
본죽앤비빔밥 아라점_20210924,본죽앤비빔밥 아라점,본죽&비빔밥cafe 제주아라점,제주 제주시 아라일동 6091-7번지 1층,FALSE,"https://map.naver.com/p/search/%EC%A0%9C%EC%A3%BC%20%EC%A0%9C%EC%A3%BC%EC%8B%9C%20%EC%95%84%EB%9D%BC%EC%9D%BC%EB%8F%99%206091-7%EB%B2%88%EC%A7%80%201%EC%B8%B5/place/1556059275?c=15.00,0,0,0,dh&isCorrectAnswer=true",
